Clone class 1, 2 fragments, nominal size 15 lines, similarity 75%
Clone class 2, 3 fragments, nominal size 18 lines, similarity 70%
Clone class 3, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 4, 6 fragments, nominal size 11 lines, similarity 75%
Clone class 5, 2 fragments, nominal size 14 lines, similarity 86%
Clone class 6, 2 fragments, nominal size 16 lines, similarity 76%
Clone class 7, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 8, 2 fragments, nominal size 30 lines, similarity 70%
Clone class 9, 3 fragments, nominal size 10 lines, similarity 72%
Clone class 10, 2 fragments, nominal size 14 lines, similarity 78%
Clone class 11, 2 fragments, nominal size 14 lines, similarity 85%
Clone class 12, 2 fragments, nominal size 16 lines, similarity 82%
Clone class 13, 3 fragments, nominal size 15 lines, similarity 100%
Clone class 14, 2 fragments, nominal size 20 lines, similarity 95%
Clone class 15, 2 fragments, nominal size 42 lines, similarity 100%
Clone class 16, 6 fragments, nominal size 12 lines, similarity 72%
Clone class 17, 2 fragments, nominal size 15 lines, similarity 86%
Clone class 18, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 19, 2 fragments, nominal size 23 lines, similarity 75%
Clone class 20, 2 fragments, nominal size 21 lines, similarity 90%
Clone class 21, 3 fragments, nominal size 10 lines, similarity 100%
Clone class 22, 3 fragments, nominal size 19 lines, similarity 78%
Clone class 23, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 24, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 25, 11 fragments, nominal size 14 lines, similarity 70%
Clone class 26, 2 fragments, nominal size 21 lines, similarity 100%
Clone class 27, 2 fragments, nominal size 19 lines, similarity 100%
Clone class 28, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 29, 2 fragments, nominal size 11 lines, similarity 83%
Clone class 30, 3 fragments, nominal size 10 lines, similarity 90%
Clone class 31, 2 fragments, nominal size 18 lines, similarity 94%
Clone class 32, 7 fragments, nominal size 10 lines, similarity 70%
Clone class 33, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 34, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 35, 2 fragments, nominal size 14 lines, similarity 71%
Clone class 36, 2 fragments, nominal size 14 lines, similarity 78%
Clone class 37, 2 fragments, nominal size 14 lines, similarity 100%
