Clone class 1, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 2, 2 fragments, nominal size 26 lines, similarity 74%
Clone class 3, 2 fragments, nominal size 20 lines, similarity 95%
Clone class 4, 2 fragments, nominal size 15 lines, similarity 81%
Clone class 5, 2 fragments, nominal size 22 lines, similarity 86%
Clone class 6, 2 fragments, nominal size 13 lines, similarity 100%
Clone class 7, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 8, 2 fragments, nominal size 13 lines, similarity 100%
Clone class 9, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 10, 2 fragments, nominal size 22 lines, similarity 82%
Clone class 11, 8 fragments, nominal size 14 lines, similarity 71%
Clone class 12, 3 fragments, nominal size 34 lines, similarity 70%
Clone class 13, 2 fragments, nominal size 31 lines, similarity 79%
Clone class 14, 2 fragments, nominal size 14 lines, similarity 71%
Clone class 15, 2 fragments, nominal size 17 lines, similarity 88%
Clone class 16, 2 fragments, nominal size 21 lines, similarity 73%
Clone class 17, 2 fragments, nominal size 20 lines, similarity 71%
Clone class 18, 4 fragments, nominal size 11 lines, similarity 72%
Clone class 19, 2 fragments, nominal size 18 lines, similarity 75%
Clone class 20, 2 fragments, nominal size 11 lines, similarity 81%
Clone class 21, 2 fragments, nominal size 12 lines, similarity 91%
Clone class 22, 3 fragments, nominal size 11 lines, similarity 72%
Clone class 23, 2 fragments, nominal size 13 lines, similarity 92%
Clone class 24, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 25, 2 fragments, nominal size 13 lines, similarity 76%
Clone class 26, 2 fragments, nominal size 12 lines, similarity 83%
Clone class 27, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 28, 2 fragments, nominal size 14 lines, similarity 100%
Clone class 29, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 30, 3 fragments, nominal size 10 lines, similarity 70%
Clone class 31, 2 fragments, nominal size 10 lines, similarity 70%
Clone class 32, 3 fragments, nominal size 11 lines, similarity 72%
Clone class 33, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 34, 2 fragments, nominal size 15 lines, similarity 76%
Clone class 35, 2 fragments, nominal size 18 lines, similarity 78%
Clone class 36, 3 fragments, nominal size 10 lines, similarity 70%
Clone class 37, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 38, 2 fragments, nominal size 17 lines, similarity 76%
Clone class 39, 2 fragments, nominal size 23 lines, similarity 78%
Clone class 40, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 41, 2 fragments, nominal size 24 lines, similarity 91%
Clone class 42, 2 fragments, nominal size 14 lines, similarity 78%
Clone class 43, 2 fragments, nominal size 12 lines, similarity 75%
Clone class 44, 4 fragments, nominal size 12 lines, similarity 75%
Clone class 45, 13 fragments, nominal size 19 lines, similarity 76%
Clone class 46, 3 fragments, nominal size 25 lines, similarity 72%
Clone class 47, 2 fragments, nominal size 31 lines, similarity 76%
Clone class 48, 3 fragments, nominal size 24 lines, similarity 75%
Clone class 49, 6 fragments, nominal size 15 lines, similarity 86%
Clone class 50, 3 fragments, nominal size 10 lines, similarity 100%
Clone class 51, 2 fragments, nominal size 23 lines, similarity 76%
Clone class 52, 2 fragments, nominal size 23 lines, similarity 73%
Clone class 53, 2 fragments, nominal size 18 lines, similarity 77%
Clone class 54, 2 fragments, nominal size 10 lines, similarity 90%
Clone class 55, 2 fragments, nominal size 121 lines, similarity 95%
Clone class 56, 2 fragments, nominal size 24 lines, similarity 95%
Clone class 57, 2 fragments, nominal size 41 lines, similarity 86%
Clone class 58, 2 fragments, nominal size 16 lines, similarity 77%
Clone class 59, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 60, 2 fragments, nominal size 26 lines, similarity 70%
Clone class 61, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 62, 2 fragments, nominal size 30 lines, similarity 93%
Clone class 63, 2 fragments, nominal size 13 lines, similarity 78%
Clone class 64, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 65, 2 fragments, nominal size 14 lines, similarity 78%
Clone class 66, 2 fragments, nominal size 18 lines, similarity 73%
Clone class 67, 2 fragments, nominal size 15 lines, similarity 93%
Clone class 68, 3 fragments, nominal size 10 lines, similarity 90%
Clone class 69, 4 fragments, nominal size 10 lines, similarity 70%
Clone class 70, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 71, 2 fragments, nominal size 24 lines, similarity 100%
Clone class 72, 2 fragments, nominal size 71 lines, similarity 91%
Clone class 73, 2 fragments, nominal size 55 lines, similarity 98%
Clone class 74, 2 fragments, nominal size 13 lines, similarity 100%
Clone class 75, 2 fragments, nominal size 34 lines, similarity 100%
Clone class 76, 2 fragments, nominal size 29 lines, similarity 89%
Clone class 77, 2 fragments, nominal size 43 lines, similarity 90%
Clone class 78, 2 fragments, nominal size 14 lines, similarity 100%
Clone class 79, 2 fragments, nominal size 36 lines, similarity 100%
Clone class 80, 2 fragments, nominal size 13 lines, similarity 100%
Clone class 81, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 82, 2 fragments, nominal size 28 lines, similarity 78%
Clone class 83, 2 fragments, nominal size 16 lines, similarity 100%
Clone class 84, 2 fragments, nominal size 10 lines, similarity 90%
Clone class 85, 2 fragments, nominal size 34 lines, similarity 91%
Clone class 86, 2 fragments, nominal size 15 lines, similarity 100%
Clone class 87, 2 fragments, nominal size 30 lines, similarity 100%
Clone class 88, 2 fragments, nominal size 87 lines, similarity 72%
Clone class 89, 2 fragments, nominal size 20 lines, similarity 75%
Clone class 90, 2 fragments, nominal size 40 lines, similarity 97%
Clone class 91, 2 fragments, nominal size 27 lines, similarity 96%
Clone class 92, 2 fragments, nominal size 29 lines, similarity 96%
Clone class 93, 2 fragments, nominal size 34 lines, similarity 79%
Clone class 94, 2 fragments, nominal size 17 lines, similarity 76%
Clone class 95, 2 fragments, nominal size 33 lines, similarity 72%
